# Train        Valid       
    9.272675    10.392215 
   10.425041    11.022459 
   10.874499    11.371316 
   11.153529    11.518483 
   11.347024    11.747840 
   11.494063    11.854506 
   11.607667    11.960609 
   11.702488    12.029197 
   11.779660    12.075902 
   11.842231    12.154564 
   11.897895    12.075540 
   11.941727    12.235885 
   11.985798    12.271647 
   12.013205    12.292043 
   12.034303    12.331046 
   12.064614    12.325004 
   12.080378    12.331028 
   12.098191    12.265635 
   12.110920    12.360627 
   12.125574    12.355956 
   12.138048    12.362611 
   12.144829    12.379231 
   12.161814    12.377156 
   12.172498    12.442506 
   12.175895    12.477995 
   12.194848    12.407905 
   12.200758    12.416700 
   12.208348    12.490316 
   12.213075    12.477076 
   12.211642    12.482894 
   12.212911    12.414251 
   12.217553    12.454037 
   12.208436    12.462167 
   12.208674    12.469010 
   12.209858    12.422788 
   12.211155    12.490199 
   12.218406    12.408476 
   12.221691    12.449492 
   12.220823    12.487615 
   12.226998    12.391585 
   12.226968    12.464557 
   12.223502    12.489505 
   12.219445    12.473033 
   12.223234    12.450270 
   12.225115    12.430934 
   12.233753    12.504887 
   12.231462    12.383834 
   12.231887    12.408733 
   12.227142    12.469286 
   12.225998    12.447723 
