# Train        Valid       
    2.835238     2.800250 
    2.799224     2.780554 
    2.785178     2.769652 
    2.776458     2.765053 
    2.770410     2.757885 
    2.765815     2.754551 
    2.762265     2.751235 
    2.759302     2.749092 
    2.756890     2.747632 
    2.754935     2.745174 
    2.753195     2.747643 
    2.751825     2.742633 
    2.750448     2.741515 
    2.749591     2.740878 
    2.748932     2.739659 
    2.747985     2.739848 
    2.747492     2.739659 
    2.746936     2.741703 
    2.746538     2.738734 
    2.746080     2.738880 
    2.745690     2.738672 
    2.745478     2.738153 
    2.744947     2.738218 
    2.744613     2.736176 
    2.744507     2.735067 
    2.743915     2.737257 
    2.743730     2.736982 
    2.743493     2.734681 
    2.743345     2.735095 
    2.743390     2.734913 
    2.743350     2.737059 
    2.743205     2.735815 
    2.743490     2.735561 
    2.743483     2.735347 
    2.743446     2.736792 
    2.743405     2.734685 
    2.743179     2.737239 
    2.743076     2.735957 
    2.743103     2.734766 
    2.742910     2.737767 
    2.742911     2.735486 
    2.743020     2.734707 
    2.743146     2.735222 
    2.743028     2.735933 
    2.742969     2.736537 
    2.742699     2.734226 
    2.742771     2.738009 
    2.742757     2.737231 
    2.742906     2.735339 
    2.742941     2.736012 
