# Train        Valid       
    9.133367    10.207843 
   10.097937    10.515814 
   10.403991    10.842257 
   10.573245    10.933133 
   10.681386    11.085613 
   10.757347    11.097056 
   10.821025    11.161751 
   10.867773    11.154104 
   10.900129    11.211967 
   10.932301    11.216081 
   10.961563    11.263704 
   10.978634    11.199886 
   11.002701    11.126759 
   11.016619    11.312301 
   11.033647    11.328870 
   11.048551    11.286197 
   11.062390    11.352666 
   11.070448    11.326655 
   11.083749    11.347028 
   11.092111    11.368223 
   11.104909    11.403258 
   11.105534    11.351412 
   11.118645    11.404312 
   11.123022    11.356669 
   11.126077    11.337098 
   11.139894    11.368103 
   11.137486    11.406908 
   11.147160    11.292925 
   11.150649    11.375997 
   11.156145    11.421168 
   11.166387    11.399043 
   11.166230    11.414959 
   11.173817    11.436516 
   11.173803    11.414970 
   11.180141    11.444332 
   11.179326    11.413921 
   11.186015    11.410205 
   11.185008    11.444467 
   11.191435    11.434888 
   11.189742    11.347813 
   11.193712    11.442001 
   11.196978    11.432015 
   11.190638    11.442889 
   11.199842    11.394741 
   11.199555    11.398323 
   11.199547    11.405845 
   11.204877    11.415976 
   11.202427    11.470054 
   11.204963    11.459420 
   11.207168    11.423566 
