# Train        Valid       
    2.839591     2.806012 
    2.809447     2.796387 
    2.799882     2.786185 
    2.794592     2.783345 
    2.791212     2.778580 
    2.788839     2.778223 
    2.786849     2.776201 
    2.785388     2.776440 
    2.784376     2.774631 
    2.783371     2.774503 
    2.782457     2.773014 
    2.781923     2.775009 
    2.781171     2.777294 
    2.780736     2.771496 
    2.780204     2.770978 
    2.779738     2.772312 
    2.779306     2.770234 
    2.779054     2.771047 
    2.778638     2.770411 
    2.778377     2.769748 
    2.777977     2.768653 
    2.777957     2.770273 
    2.777548     2.768620 
    2.777411     2.770109 
    2.777315     2.770721 
    2.776884     2.769752 
    2.776959     2.768539 
    2.776657     2.772102 
    2.776548     2.769505 
    2.776376     2.768094 
    2.776056     2.768785 
    2.776061     2.768288 
    2.775823     2.767614 
    2.775824     2.768287 
    2.775626     2.767370 
    2.775651     2.768320 
    2.775442     2.768436 
    2.775474     2.767365 
    2.775273     2.767665 
    2.775326     2.770386 
    2.775202     2.767443 
    2.775100     2.767755 
    2.775298     2.767415 
    2.775010     2.768920 
    2.775019     2.768807 
    2.775019     2.768573 
    2.774853     2.768256 
    2.774929     2.766566 
    2.774850     2.766898 
    2.774781     2.768019 
